MASP,TENSP,GIA,KHUYENMAI,MOTA,SOSAO,NGSX,MAHSX,TRANGTHAI
12,adidas Yeezy Boost 350 Pirate Black (2023),3200000,0,"Giới thiệu sự trở lại của adidas Yeezy Boost 350 mang tính biểu tượng với phối màu Pirate Black. Nổi bật với phần thân trên bằng vải Primeknit toàn màu đen, Pirate Black Yeezy Boost 350 là sự kết hợp giữa thời trang dạo phố cao cấp với thiết kế tối giản đẹp mắt.",4,2023-06-01,2,1
13,adidas Yeezy Boost 700 MNVN Honey Flux,1300000,0,"Adidas Yeezy Boost 700 MNVN Honey Flux có phần trên bằng cao su tổng hợp màu vàng sáng với chi tiết phản quang ""700"" và đường viền gia cố màu đen. Đế Boost điêu khắc màu đen mang đến khả năng giảm chấn tối đa mà Yeezy đã được công nhận kể từ khi thành lập vào năm 2015.",3,2021-09-20,2,1
14,adidas Yeezy Boost 700 Wave Runner,6100000,0,"Yeezy 700 Boost Wave Runner là đôi giày đã đưa Yeezy chuyển hướng từ kiểu dáng đẹp, thẩm mỹ tối giản sang kiểu dáng hầm hố lấy cảm hứng từ thập niên 90. Đây là đôi giày sneaker cửa ngõ giữa những đôi giày chạy bộ đan len như 350 và kiểu dáng giày trượt bụi bặm của 550. Yeezy 700 Wave Runner có lưới màu xám và phần trên bằng da với lớp phủ da lộn màu đen và lớp lót lưới màu xanh mòng két. Ở phần đế, đế Boost dày và các điểm nhấn màu cam tương phản đã hoàn thiện thiết kế.",5,2017-11-01,2,1
15,adidas Yeezy Desert BootSalt,2900000,0,"Adidas Yeezy Desert Boot Salt, chịu ảnh hưởng của thiết kế quân sự và tiện ích, đã được cung cấp như một phần của bộ sưu tập dòng sản phẩm Mùa 7.",3,2024-05-27,2,1
16,adidas Yeezy Boost 700 Utility Black,2890000,0,"Adidas Yeezy Boost 700 Utility Black có mặt trên đơn sắc bằng lưới, da và da lộn màu đen Utility. Từ đó, đế giữa Utility Black Boost và đế ngoài bằng cao su hoàn thiện thiết kế.",4,2024-05-27,2,1
17,adidas Campus 00s Core Black,900000,0,"Adidas Campus 00s Core Black được bao phủ bởi các đường viền màu đen và trắng cốt lõi ở phía trên, đế giữa màu trắng của giày và đế ngoài màu nâu. Giày sneaker này là sản phẩm của chất liệu da lộn, cao su và da để hoàn thiện kết cấu. Adidas Campus 00s Core Black có logo adidas ở lưỡi giày và gót chân với nhãn hiệu khuôn viên trường ở phần tư của nó.",3,2023-02-17,2,1
18,adidas AE 1 Ascent,1900000,0,Adidas AE 1 Ascent bổ sung thêm phối màu bóng bẩy là Charcoal và Core Black cho đôi giày sneaker đặc trưng đầu tiên của cầu thủ NBA Anthony Edward với adidas.,4,2024-07-20,2,1
19,adidas Yeezy Boost 350 V2MX Rock,2600000,0,"Adidas Yeezy Boost 350 V2 MX Rock có phần trên Primeknit màu đen, xám và nâu cẩm thạch được thiết kế theo kiểu tương tự như Yeezy 350 V2 MX Oat, chỉ có tông màu tối. Theo phong cách đặc trưng, ​​đế Boost có đệm, miếng lót gót chân và sọc lưới bên hông hoàn thiện thiết kế.",3,2024-03-18,2,1
20,adidas AE 1 Preloved Purple,2050000,0,"Nắm bắt tương lai của bóng rổ với adidas AE 1 Preloved Purple. Giày sneaker sáng tạo này, lấy cảm hứng từ Anthony Edwards, có màu tím nổi bật và công nghệ tiên tiến.",2,2024-10-05,2,1
21,Converse Chuck Taylor All Star Hi Platform Black White (Women s),1260000,0,"Converse Chuck Taylor All Star Hi Platform Black White W là một đôi giày sneaker cổ điển pha chút hiện đại. Đế đế tăng thêm chiều cao và nét thời thượng cho hình bóng Chuck Taylor mang tính biểu tượng. Phần trên được làm bằng chất liệu canvas bền bỉ với màu đen và trắng bóng bẩy, giúp nó linh hoạt và dễ phối với mọi trang phục. Được phát hành vào ngày 27 tháng 12 năm 2021, đôi giày thể thao này là món đồ không thể thiếu đối với bất kỳ cá nhân yêu thích thời trang nào. Giá bán lẻ 70 USD là hợp lý cho một đôi giày chất lượng cao sẽ tồn tại trong nhiều năm tới. Một trong những đặc điểm nổi bật của Converse Chuck Taylor All Star Hi Platform Black White W là sự thoải mái. Đế nền cung cấp thêm đệm và hỗ trợ, khiến nó trở nên hoàn hảo để mang cả ngày. Giày còn có mũi giày và đế ngoài bằng cao su để tăng độ bền. Điều chúng tôi yêu thích ở Converse Chuck Taylor All Star Hi Platform Black White W là khả năng nâng tầm mọi trang phục. Cho dù bạn mặc trang phục sang trọng hay giản dị, đôi giày thể thao này sẽ mang lại cảm giác sành điệu cho mọi diện mạo. Các chuyên gia của chúng tôi cho rằng những tính năng tốt nhất là sự thoải mái, độ bền và tính linh hoạt của nó. Nhìn chung, chúng tôi yêu thích Converse Chuck Taylor All Star Hi Platform Black White W và đặc biệt giới thiệu nó cho bất kỳ ai đang tìm kiếm một đôi giày sneaker sành điệu và thoải mái.",3,2021-12-27,3,1
22,Converse Chuck Taylor All Star Lift OxBlack White (Women s),1000000,0,"Lấy cảm hứng từ vẻ ngoài mang tính biểu tượng của các ban nhạc nữ thập niên 90, đôi giày Chucks đế bệt này chắc chắn sẽ gây ấn tượng mạnh. Vải canvas có thể tinh tế hoặc sắc sảo như bạn muốn, trong khi phần đế xếp chồng đôi lại giúp bạn trông cao hơn.",4,2022-06-11,3,1
23,Converse Chuck Taylor All Star 70 Hi De Luxe SquaredSwarovski Black (Women s),4790000,0,"Cái nhìn đầu tiên này xuất hiện chỉ một tuần trước khi Chuck 70 De Luxe Squared chuẩn bị ra mắt toàn cầu. Các yếu tố thiết kế đáng chú ý bao gồm việc chuyển đổi mũi giày bằng cao su tròn truyền thống của Chuck Taylor All Star thành phiên bản vuông vức, táo bạo.",4,2024-02-01,3,1
24,Converse Pro Leather Lola Bunny Space Jam (Women s),1130000,0,"Đó là chính thức. Tune Squad đã hoạt động trở lại và Converse vừa tung ra một bộ sưu tập đặc trưng, ​​bao gồm cả chiếc Pro Leather đặc trưng này dành cho Lola Bunny. Thiết kế da đục lỗ mịn màng và đầy phong cách có đồ họa Lola Bunny thêu ở gót chân, logo Star Chevron lông thú, nhãn hiệu Tune Squad và các điểm nhấn màu hồng trên lớp lót lưới. Với kích cỡ dành cho mọi lứa tuổi, bạn có thể gợi lại nỗi nhớ thập niên 90 của mình hoặc mang đến cho thế hệ tiếp theo niềm vui.",5,2021-06-16,3,1
25,Converse Chuck Taylor All Star 70 Hi Cherries Egret (Women s),1450000,0,,4,2024-03-19,3,1
26,Converse Run Star Hike Hi Made with Love White (Women s),1640000,0,,3,2021-04-28,3,1
27,Converse Run Star Hike Ox Paint Splatter White (Women s),1320000,0,,2,2021-04-18,3,1
28,Converse ERX 260 Mid Feng Chen Wang (Women s),1190000,0,,3,2019-04-26,3,1
29,Converse Chuck Taylor All Star 70 Hi Vintage Floral Multicolor (Women s),870000,0,,3,2023-11-07,3,1
30,Converse Chuck Taylor All Star 70 Hi Vintage Floral Black Silver (Women s),2350000,0,,4,2022-12-30,3,1
31,Reebok Floatride Energy Daily Black Grey (Women s),2520000,0,,4,2021-06-15,4,1
32,Reebok Floatride Energy SymmetrosBlack Pixel Mint,5460000,0,,3,2021-06-22,4,1
33,Reebok Floatride Energy 3 Pride (2021) (Women s),1870000,5,,2,2021-07-01,4,1
34,Reebok Floatride Energy 3 Adventure National Geographic,5430000,0,,2,2021-09-23,4,1
35,Reebok Club C 85 JJJJound Nubuck Core Black,2200000,7,Reebok Club C 85 JJJJound Nubuck Core Black thể hiện sự hợp tác giữa hình dáng đặc trưng của công ty giày sneaker nổi tiếng thế giới và nhà thiết kế thời trang dạo phố có trụ sở tại Montreal.,3,2023-04-06,4,1
36,Reebok Pump TZ Black White Wild Orange,2150000,8,"Từng là món đồ không thể thiếu trên sân bóng rổ, những đôi giày Reebok nam này đã được tái sinh để bạn có thể khuấy động chúng trong thành phố. Lấy ý tưởng thiết kế từ những năm 90, họ giữ lại các chi tiết mang tính biểu tượng như The Pump và các chi tiết tổng hợp ở thành bên để có vẻ ngoài có cấu trúc. Cổ giày có viền terry và đế giữa bằng phấn mang lại vẻ cổ điển.",4,2023-02-17,4,1
37,Reebok Ghost SmasherGhostbusters (2020),2990000,3,Reebok Ghost Smashers Ghostbusters là đôi giày thể thao phiên bản giới hạn được lấy cảm hứng từ các bộ phim Ghostbusters những năm 1980.,5,2020-10-31,4,1
38,Reebok Premier Road Ultra Soft Pink,4985000,10,"Giày sneaker Premier Road Ultra của Reebok kết hợp kiểu dáng chạy bộ truyền thống với phong cách thẩm mỹ tương lai. Vector mang tính biểu tượng xuất hiện ở phần trên được ốp, được xếp chồng lên nhau trên đế giữa mật độ kép và chân TPU mang lại sự thoải mái và ổn định tối ưu.",4,2024-09-19,4,1
39,Reebok The Answer DMX Black White Gold (2022),1540000,0,"Dynamax Reebok The Answer màu Đen Trắng Vàng có phần trên bằng da tổng hợp màu đen với lớp lót bằng da trắng mịn chạy dọc phần trên. Lưới đen trên lớp lót vàng chạm vào tấm chắn bùn và mấu gót chân. Một miếng vá vàng với nhãn hiệu Allen Iverson tô điểm cho cổ áo bên, nhãn hiệu Reebok thêu màu trắng tô điểm cho tấm chắn bùn bên và nhiều nhãn hiệu Reebok bằng vàng khác chạm vào lưỡi. Lớp lót tất màu đen, có đệm để tạo sự thoải mái, bao quanh đế trong màu đen có nhãn hiệu màu vàng để hoàn thiện tính thẩm mỹ của phần trên này.",3,2022-11-18,4,1
40,Reebok Shaq Victory PumpBasketball Meets Tennis,1160000,0,"Ở một thế giới khác, Shaquille O Neal có thể là một thế lực thống trị quần vợt nhờ kích thước và sức mạnh của anh ấy. Chúng tôi khám phá khả năng đó với những đôi giày Reebok này, kết hợp các tính năng từ Shaq Attaq và Court Victory Pump. Logo đặc trưng của anh được thiết kế lại với hình ảnh một cú giao bóng tennis thay vì cú ném bóng cổ điển để hoàn thiện vẻ ngoài.",5,2023-02-17,4,1
